filename,needs_review,missing_fields,has_embedded_metadata,current_source,copyright,subject
10395426.640x640.jpg,False,date,True,"Even, Megan Lynn. MNopedia. Minnesota Historical Society (from file copyright metadata)","Even, Megan Lynn. ""Red River Carts."" MNopedia. Minnesota Historical Society. First published October 24, 2017; last modi",Red River Cart in St. Paul
Hime-030.jpg,True,"source, date",False,Archival source (unverified),,
PC009714.jpg,False,date,True,The H. Enida Olive Co'y Ltd: Publisher (from file copyright metadata),The H. Enida Olive Co'y Ltd: Publisher,Metis man standing outside a tipi like structure. He wears a French beret style hat and has a long white beard. One hand
SAB_GM_R-A14901_141.jpg,False,date,True,"Provincial Archives of Saskatchewan, R-A14901, ""Métis shack in Il-à-la-Crosse"" (from file copyright metadata)","Provincial Archives of Saskatchewan, R-A14901, ""Métis shack in Il-à-la-Crosse""","Photograph of an unpainted, two-story Métis house/shack in Île-à-la-Crosse, Saskatchewan. The image shows broken windows"
SAB_GM_R-A1569_141.jpg,False,date,True,"Provincial Archives of Saskatchewan, R-A1569, ""Man with three little children at campsite near Prince Albert"" (from file copyright metadata)","Provincial Archives of Saskatchewan, R-A1569, ""Man with three little children at campsite near Prince Albert""","An Indigenous or Métis man standing in a wooded campsite near Prince Albert, Saskatchewan. He is holding a small child i"
SAB_GM_R-A2436_141.jpg,False,date,True,"Provincial Archives of Saskatchewan, R-A2436, ""Spencer repeating rifles in the hands of Métis scouts"" (from file copyright metadata)","Provincial Archives of Saskatchewan, R-A2436, ""Spencer repeating rifles in the hands of Métis scouts""",A group portrait of Métis scouts standing and sitting in rows in front of a wooden building. They are holding Spencer re
SAB_GM_R-A3078_141.jpg,False,date,True,"Provincial Archives of Saskatchewan, R-A3078, ""Superintendent of Schools checking Métis pupils' work at La Loche School"" (from file copyright metadata)","Provincial Archives of Saskatchewan, R-A3078, ""Superintendent of Schools checking Métis pupils' work at La Loche School""","A black and white photograph capturing Mr. Waugh, the Superintendent of Schools, standing in a classroom and checking th"
SAB_GM_R-A4543_141.jpg,False,"source, date",True,Archival source (unverified),,"Studio portrait, showing ""Gentleman Joe"" McKay, leaning on a saddle with a long gun. He is wearing a hat, leather chaps,"
SAB_GM_R-A4544_141.jpg,False,source,True,Archival source (unverified),,"Portrait of ""Gentleman Joe"" McKay (left) and an Indigenous man (right), seated together on a fur rug and looking at a bo"
SAB_GM_R-A4572_141.jpg,False,date,True,"Provincial Archives of Saskatchewan, R-A4572, ""Tip-a-canoe, bearded Métis, seated in front of very rough log cabin with sod-covered roof"" (from file copyright metadata)","Provincial Archives of Saskatchewan, R-A4572, ""Tip-a-canoe, bearded Métis, seated in front of very rough log cabin with ","A photograph of an elderly, bearded Métis man known as ""Tip-a-canoe."" He is seated on a chair outside the open doorway o"
SAB_GM_R-A8587_001_141.jpg,False,"source, date",True,Archival source (unverified),,"Provincial Archives of Saskatchewan, R-A8587 (1)-(2), ""Green Lake farm scenes"""
"The_story_of_the_Dominion_-_four_hundred_years_in_the_annals_of_half_a_continent;_a_history_of_Canada_from_its_early_discovery_and_settlement_to_the_present_time;_embracing_its_growth,_progress_and_(1478461.jpg",False,source,True,Archival source (unverified),,"Depicts the decisive engagement fought from May 9 to May 12, 1885, where Canadian forces under Major-General Frederick M"
na-1406-35.jpg,False,date,True,Original in Glenbow Library (from archival file metadata),,"Metis camp near St. Paul, Minnesota.
Published in 'Harper's Monthly', January 1859, page 170. Camp was organized for tri"
na-2617-71os.jpg,False,source,True,Archival source (unverified),,"Metis in Lesser Slave Lake area, Alberta.
Making bridge over stream."
na-363-10.jpg,False,date,True,James Peters fonds (from file copyright metadata),James Peters fonds,"Two wagons with Tom Hourie, Metis guide for the Militia.
Taken during the Riel Rebellion."
new_sis_shack_town_1949_01_web.jpg,False,source,True,Archival source (unverified),,"Gerry Cairns / Winnipeg Free Press Collection, Archives of Manitoba Ernest and Elizabeth Stock were evicted from Rooster"
um_pc018_a81-012_059_5784_003_0001.jpg,False,"source, date",True,Archival source (unverified),,The homes of Rooster Town were constructed almost entirely of found materials in the surrounding areas. The Canadian Nat
uncertainmargins3.jpg,False,date,True,"(Manitoba History, No. 53, October 2006) (from file copyright metadata)","Originally hosted by the Manitoba Historical Society in Nicole St-Onge's article, ""Uncertain Margins: Métis and Saulteau",The Roman Catholic mission church established by Father Georges-Antoine Belcourt for the Saulteaux (Ojibwa) and Métis po
